;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;IDI;201C/211C;Inglés;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;165;372;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C/211C;Italiano;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;161;198;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C/211C;Italiano;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;161;198;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C/211C;Mandarín;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;3;26;66;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C/211C;Mandarín;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;3;26;66;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C;Inglés I Y Laboratorio;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;182;372;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;211C;Inglés Ii Y Laboratorio;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;12;265;284;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C;Inglés III  - Escrito;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;14;316;330;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;211C;Inglés III  - Oral;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;14;316;330;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;MAT;;Matemática discreta;Lambda calculator;Aplicación gratuita;#¡REF!;;Libre;;1;34;36;;;64 bits;;;
;MAT;207C;Regresión y muestreo;SPSS;Licenciado-anual;24;;Limitada a cantidad Concurrente;;5;121;129; with SSE2 instruction set.;2 GHz;64 bits;Windows 10;8;2
;MAT;207C;Regresión y muestreo;MegaStat - Complemento de excel;Aplicación gratuita;Complemento;;Libre;;5;121;129;;;64 bits;;;
;MAT;207C;Regresión y muestreo;Matlab;Licenciado-anual;9.3.0.713579;;Limitada a cantidad Concurrente;;5;121;129;Intel o AMD X86-64;1 GHz;64 bits;>=Windows 7;2;2
;MAT;207C;Regresión y muestreo;Software R;Aplicación gratuita;#¡REF!;;Libre;;5;121;129;Intel Core 2 Duo;2.4GHz;64 bits; Windows 10;16;5
;MAT;207C;Regresión y muestreo;Minitab;Licenciado-anual;18.1.0.0;;Limitada a cantidad Concurrente;;5;121;129;Processor Intel Pentium 4;2Ghz;64 bits;>=Windows 7;2;2
;MAT;207C;Regresión y muestreo;Office;Licenciado-anual;2013;;Contrato Microsoft;;5;121;129; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
